site,file,missing_slug,slug_value,title_len,description_len,word_count,issues
a01,exame-preventivo-lista-completa.md,false,exame-preventivo-lista-completa,51,131,1015,
a01,plano-de-saude-vs-consulta-particular.md,false,plano-de-saude-vs-consulta-particular,54,126,893,
a01,sintomas-que-exigem-pronto-socorro.md,false,sintomas-que-exigem-pronto-socorro,46,133,966,
a01,telemedicina-como-funciona-brasil.md,false,telemedicina-como-funciona-brasil,45,134,863,
a02,perder-peso-quantas-vezes-semana-treinar.md,false,perder-peso-quantas-vezes-semana-treinar,50,107,1018,
a02,personal-trainer-beneficios.md,false,personal-trainer-beneficios,57,110,1315,
a02,proteina-whey-vale-a-pena.md,false,proteina-whey-vale-a-pena,52,125,1062,
a02,treino-em-casa-vs-academia.md,false,treino-em-casa-vs-academia,53,109,1027,
a03,beneficios-comida-caseira-vs-fast-food.md,true,,45,149,1091,missing-slug
a03,como-escolher-marmita-saudavel-delivery.md,true,,42,142,925,missing-slug
a03,como-montar-cardapio-semanal-empresa.md,true,,41,133,1181,missing-slug
a03,delivery-almoco-executivo-como-funciona.md,true,,43,140,1194,missing-slug
a04,como-abrir-processo-trabalhista.md,false,como-abrir-processo-trabalhista,46,109,1188,
a04,direitos-trabalhistas-rescisao.md,false,direitos-trabalhistas-rescisao,55,107,1060,
a04,mei-direitos-trabalhistas.md,false,mei-direitos-trabalhistas,46,111,1243,
a04,pensao-alimenticia-como-calcular.md,false,pensao-alimenticia-como-calcular,37,96,1070,
a05,escritura-registro-imovel.md,false,escritura-registro-imovel,45,112,1079,
a05,fgts-compra-imovel-como-usar.md,false,fgts-compra-imovel-como-usar,44,111,1184,
a05,laudo-vistoria-imovel.md,false,laudo-vistoria-imovel,48,129,1056,
a05,valor-metro-quadrado-cidade.md,false,valor-metro-quadrado-cidade,46,130,1034,
a06,certificado-mec-importancia.md,false,certificado-mec-importancia,56,117,1117,
a06,cursos-profissionalizantes-mais-empregaveis.md,false,cursos-profissionalizantes-mais-empregaveis,51,100,1182,
a06,ead-ou-presencial-curso.md,false,ead-ou-presencial-curso,57,122,1259,
a06,ingles-para-negocios-como-aprender.md,false,ingles-para-negocios-como-aprender,59,113,1208,
